CENA HLASU,5.74,,,,
,,,,,
PRÍSPEVKY ZA HLASY,2006,,,,
SMER - SD,3852601.9,,,,
SDKU - DS,2426958.1,,,,
SNS,1551120.2,,,,
SMK,1544697.14,,,,
LS - HZDS,1162579.6,,,,
KDH,1098882.82,,,,
KSS,513259.32,,,,
SF,464584.75,,,,
,,,,,
PRÍSPEVKY NA ČINNOSŤ,2006,2007,2008,2009,2010
SMER - SD,240788,963150.5,963150.5,963150.5,722362.88
SDKU - DS,151685,606739.5,606739.5,606739.5,455054.63
SNS,96945,387780,387780,387780,290835
SMK,96544,386174.25,386174.25,386174.25,289630.69
LS - HZDS,72662,290645,290645,290645,217983.75
KDH,68682,274720.75,274720.75,274720.75,206040.56
KSS,32080,128314.75,128314.75,128314.75,96236.06
SF,29042.89,114746.45,114746.45,114746.45,86059.99
,,,,,
PRÍSPEVKY NA MANDÁT,2006,2007,2008,2009,2010
SMER - SD,401975,689100,689100,689100,287125
SDKU - DS,274682.92,470885,470885,470885,196202.08
SNS,200987.5,344550,344550,344550,143562.5
SMK,200987.5,344550,344550,344550,143562.5
LS - HZDS,150740.92,258413,258413,258413,107672.08
KDH,140691.25,241185,241185,241185,100493.75
KSS,-,-,-,-,-
SF,-,-,-,-,-
