CENA HLASU,7.45,,
,,,
PRÍSPEVKY ZA HLASY,2010,,
SMER - SD,4911019.38,,
SDKU - DS,2176434.36,,
SaS,1714661.46,,
KDH,1203912.9,,
Most - Híd,1146902.04,,
SNS,716974.2,,
SMK,611780.04,,
LS-HZDS,610898.4,,
,,,
PRÍSPEVKY NA ČINNOSŤ,2010,2011,2012
SMER - SD,306938.71,1639206.74,273201.12
SDKU - DS,136027.15,726453.2,121075.54
SaS,107166.34,572322.03,95387.01
KDH,75244.56,401843.69,66973.95
Most - Híd,71681.38,382814.53,63801
SNS,44810.89,239312.62,39885
SMK,38236.25,204200.7,34033.46
LS-HZDS,38181.15,203906.5,33984.42
,,,
PRÍSPEVKY NA MANDÁT,2010,2011,2012
SMER - SD,625380,1072080,178680
SDKU - DS,330061.67,565820,94303.33
SaS,277946.67,476480,79413.33
KDH,195431.25,335025,55837.5
Most - Híd,182402.5,312690,52115
SNS,117258.75,201015,33502.5
SMK,-,-,-
LS-HZDS,-,-,-
