VOLEBNÉ OBDOBIE,8,,,,
,,,,,
CENA HLASU,10.92,,,
,,,,
PRÍSPEVKY ZA HLASY,2020,,,
OĽaNO - NOVA,7875132.72,,,
SMER,5756718.24,,,
SME RODINA,2593838.52,,,
Kotlebovci - ĽS Naše Slovensko,2507887.2,,,
Koalícia Progresívne Slovensko a SPOLU,2192517.6,,,
SAS,1957366.32,,,
Za ľudí,1816269,,,
KDH,1464361.08,,,
MKS,1230269.04,,,
SNS,995587.32,,,
Dobrá voľba,963362.4,,,
,,,,
PRÍSPEVKY NA ČINNOSŤ,2020,2021,2022,2023
OĽaNO - NOVA,492195.8,1968783.18,1968783.18,2625044.24
SMER,359794.89,1439179.56,1439179.56,1918906.08
SME RODINA,162114.91,648459.63,648459.63,864612.84
Kotlebovci - ĽS Naše Slovensko,156742.95,626971.8,626971.8,835962.4
Koalícia Progresívne Slovensko a SPOLU,137032.35,548129.4,548129.4,730839.2
SAS,122335.4,489341.58,489341.58,652455.44
Za ľudí,113516.81,454067.25,454067.25,605423
KDH,91522.57,366090.27,366090.27,488120.36
MKS,76891.82,307567.26,307567.26,410089.68
SNS,62224.21,248896.83,248896.83,331862.44
Dobrá voľba,60210.15,240840.6,240840.6,321120.8
,,,,
PRÍSPEVKY NA MANDÁT,2020,2021,2022,2023
OĽaNO - NOVA,1261260,1375920,1375920,917280
SMER,960960,1048320,1048320,698880
SME RODINA,510510,556920,556920,371280
Kotlebovci - ĽS Naše Slovensko,510510,556920,556920,371280
Koalícia Progresívne Slovensko a SPOLU,-,-,-,-
SAS,390390,425880,425880,283920
Za ľudí,360360,393120,393120,262080
KDH,-,-,-,-
MKS,-,-,-,-
SNS,-,-,-,-
Dobrá voľba,-,-,-,-
,,,,
KOALÍCIE,,,,
Koalícia Progresívne Slovensko a SPOLU,0.5,PS,0.5,SPOLU
