VOLEBNÉ OBDOBIE,9,ODHAD,,,,,,,,,,
,,,,,,,,,,,,
CENA HLASU,13.04,,,,,,,,,,,
,,,,,,,,,,,,
PRÍSPEVKY ZA HLASY,2023,,,,,,,,,,,
SMER,8880461.68,,,,,,,,,,,
PS,6952093.44,,,,,,,,,,,
HLAS,5690851.6,,,,,,,,,,,
OĽANO-KÚ-ZA ĽUDÍ,3444346.48,,,,,,,,,,,
KDH,2640795.6,,,,,,,,,,,
SAS,2446890.8,,,,,,,,,,,
SNS,2177614.8,,,,,,,,,,,
REPUBLIKA,1839930.96,,,,,,,,,,,
ALIANCIA,1697586.32,,,,,,,,,,,
,,,,,,,,,,,,
PRÍSPEVKY NA ČINNOSŤ,2023,2024,2025,2026,2027,,,,,,,
SMER,555028.86,2220115.42,2220115.42,2220115.42,1665086.57,,,,,,,
PS,434505.84,1738023.36,1738023.36,1738023.36,1303517.52,,,,,,,
HLAS,355678.23,1422712.9,1422712.9,1422712.9,1067034.68,,,,,,,
OĽANO-KÚ-ZA ĽUDÍ,215271.66,861086.62,861086.62,861086.62,645814.97,,,,,,,
KDH,165049.73,660198.9,660198.9,660198.9,495149.18,,,,,,,
SAS,152930.68,611722.7,611722.7,611722.7,458792.03,,,,,,,
SNS,136100.93,544403.7,544403.7,544403.7,408302.78,,,,,,,
REPUBLIKA,114995.69,459982.74,459982.74,459982.74,344987.06,,,,,,,
ALIANCIA,106099.15,424396.58,424396.58,424396.58,318297.44,,,,,,,
,,,,,,,,,,,,
PRÍSPEVKY NA MANDÁT,2023,2024,2025,2026,2027,,,,,,,
SMER,339040,1356160,1356160,1356160,1017120,,,,,,,
PS,273840,1095360,1095360,1095360,821520,,,,,,,
HLAS,241240,964960,964960,964960,723720,,,,,,,
OĽANO-KÚ-ZA ĽUDÍ,156480,625920,625920,625920,469440,,,,,,,
KDH,117360,469440,469440,469440,352080,,,,,,,
SAS,107580,430320,430320,430320,322740,,,,,,,
SNS,97800,391200,391200,391200,293400,,,,,,,
REPUBLIKA,0,0,0,0,0,,,,,,,
ALIANCIA,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,
KOALÍCIE,,,,,,,,,,,,
OĽANO-KÚ-ZA ĽUDÍ,OĽANO,0.513986177139763,0.538112039762039,0.8125,KÚ,0.340848403845829,0.322045379708722,0.125,ZA ĽUDÍ,0.145165419014408,0.139842580529239,0.0625
