Skratka,Plný názov strany,FB Účty,Google účty,Transparentný účet,WP tag,Kandidátne listiny,Majetkové priznania,Záverečné správy,Kampaň,Predkampaň
SMER,SMER - SSD,"102146246492040, 237493046280813, 253595649968, 133590787230331, 121028851094660",,Smer,910,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK18.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_18SMER.pdf,"1551370,62","60246,91"
SAS,Sloboda a Solidarita,"118995334628670, 289194020934910, 71030757230, 104817730931774, 101379528135365, 708006319284463, 102682042841004, 1118309918191690, 184760561603680",,SaS,908,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK20.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_20SaS.pdf,"478335,8",0
SNS,Slovenská Národná Strana,102232092476868,,SNS,911,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK10.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_10SNS.pdf,"270181,24","1730,78"
REPUBLIKA,REPUBLIKA,"193258414360612, 207289726707929, 100100868241799, 100536961349558, 110198307912855, 608493236475568, 101522455351569",,Republika,907,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK11.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_11Republika.pdf,"483044,87",0
PS,Progresívne Slovensko,"557862947737785, 147166706140048, 2631817786833672, 104590499363251, 113034513428949, 2259255957732716, 264096746779038, 100860732924202, 106167898761319, 134263450503360, 297516480111298, 197450020128259, 391017845719",AR08276935861006761985,Progresívne Slovensko,906,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK21.pdf,http://cms.transparency.sk/wp-content/uploads/L.Odor_TIS_majetkove_priznanie_2023.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_21PS.pdf,"1043636,55",0
SLOVENSKO,Slovensko (OĽANO),"307556876112136, 725379674198876, 150674111712306, 1402157100065393, 307556876112136, 2114282595319489, 156379697555913, 109645017227628, 101376491395473",,Slovensko,905,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK22.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_22Slovensko.pdf; https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_22Zaludi.pdf,"440298,8","45059,29"
KDH,Kresťansko​demokratické Hnutie,"163449818290, 594790970995799, 324560137683033, 498701220263973, 236638762874127, 224835974056135, 111871114747747, 267194289809508, 292020073995184, 131722646680713, 100282046184754, 114240485988180, 212739502132886",,KDH,902,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK19.pdf,http://cms.transparency.sk/wp-content/uploads/M.Lexmann_TIS_majetkove_priznanie_2023.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_19KDH.pdf,"769080,34","21502,87"
HLAS,HLAS - Sociálna Demokracia,"113775847050590, 185784721289451, 111977983820589, 103165802469488, 100171861388723, 109324785240555, 122073187539321, 895419443967530, 149858278219130, 282485898285178, 285438514655860, 235962042941173, 101888632289095, 100268974859370",,Hlas,901,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK23.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_23Hlas.pdf,"993654,6",0
DEMOKRATI,Demokrati,"1057020590987528, 111202290430870, 109590558726150, 858732787843932, 429799293817559, 265158886676854",,Demokrati,900,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK03.pdf,http://cms.transparency.sk/wp-content/uploads/J.Nad_TIS_majetkove_priznanie_2023.pdf,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_03Demokrati.pdf,"159391,12",0
ALIANCIA,Magyar Szövetség - Maďarská aliancia,"110389031408012, 161175350759976, 829031324096235, 112357895192364, 328970650296916, 528116934384090, 539774696135186, 2096080187175376, 2096080187175376, 111410950299518, 251827211357220, 278674792002881, 141084572414530, 109624335274258, 317931964732894, 101211179319052",,Maďarská Aliancia,899,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_kandidati/EP24_ZZK04.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/120_ep/ep24_reports/EP24_04Magyar.pdf,"540909,01",0
