Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1185998661417403,Ivan Korčok,Ivan Korčok,15347,90
403027089864701,Peter Pellegrini,Peter Pellegrini,11281,163
193258414360612,Milan Uhrík • Republika,REPUBLIKA,5798,14
557862947737785,Progresívne Slovensko,Progresívne Slovensko,5387,57
732167026967322,Robert Fico,SMER - SD,4913,27
147166706140048,Martin Hojsík,Martin Hojsík,4781,63
2631817786833672,Michal Wiezik • Za zelenú Európu,Michal Wiezik,4591,18
102146246492040,SMER - SSD,SMER - SD,4056,47
106795542522284,Ján Kubiš,Ing. Ján Kubiš,3801,124
188067335135140,STRABAG Slovensko,Strabag Slovensko,3453,68
1009998019021765,Forró Krisztián,Forró Krisztián,2605,40
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,2541,78
254427098315,Tipsport SK,Tipsport SK,2443,7
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,2054,47
178362315106,European Parliament,European Parliament,2032,67
207289726707929,Milan Mazurek • Republika,REPUBLIKA,1989,6
802573516467334,Juraj Blanár,SMER - SD,1972,40
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,1947,17
163449818290,KDH,KDH,1910,51
135805949177,FORTUNA stavte sa,FORTUNA stavte sa,1843,4
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,1815,46
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,1769,15
186953775142661,ESET,"ESET, spol. s r.o.",1751,18
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,1500,15
100100868241799,Miroslav Suja • Republika,REPUBLIKA,1263,3
100686359349358,Martina Holečková,Martina Holečková,1214,30
102200698451761,Gyimesi György,Gyimesi György,1122,27
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,1062,10
2085101965139559,Infosecurity.sk,Infosecurity.sk,1056,11
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,870,23
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",849,6
