Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
829031324096235,Orosz Örs,Magyar Szövetség - Maďarská aliancia,2373,16
193258414360612,Milan Uhrík • Republika,REPUBLIKA,2240,61
102146246492040,SMER - SSD,SMER - SD,1683,17
53390100905,INESS,INESS,1368,50
134871799897346,UNICEF Slovensko,Slovenská nadácia pre UNICEF,1347,2
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,1168,32
557862947737785,Progresívne Slovensko,Progresívne Slovensko,1163,18
178362315106,European Parliament,European Parliament,881,50
186953775142661,ESET,"ESET, spol. s r.o.",843,19
458474284588154,Volt Slovensko,Volt Slovensko,748,20
161175350759976,Berényi József,Magyar Szövetség - Maďarská aliancia,733,10
103165802469488,Ľuboš Micheľ - kandidát do Európskeho parlamentu č.7,HLAS - sociálna demokracia,535,24
732167026967322,Robert Fico,SMER - SD,531,4
105131888394144,Team Bratislava,Team BA,529,11
457124584400548,Rasťo TRNKA,Rastislav Trnka,503,11
100171861388723,Branislav Becík,HLAS - sociálna demokracia,486,5
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,475,60
1057020590987528,Demokrati 2023,Demokrati,461,10
1928247723902365,Humánny pokrok,Humánny pokrok,460,105
858732787843932,Juraj Šeliga,Demokrati,440,5
110129608726975,Zdravotnícky denník,"Media Network, s.r.o.",346,5
102200698451761,Gyimesi György,Gyimesi György,334,7
101522455351569,Republika,REPUBLIKA,331,17
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,330,19
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,326,2
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,321,5
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,311,7
109324785240555,Loretta Pinke,HLAS - sociálna demokracia,296,3
147166706140048,Martin Hojsík,Progresívne Slovensko,295,133
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,288,10
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,284,3
100686359349358,Martina Holečková,Martina Holečková,276,12
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,271,8
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,248,141
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,248,8
108134068532405,Zdravotnícke správy,Zdravotnícke správy,235,12
110389031408012,Magyar Szövetség,Magyar Szövetség - Maďarská aliancia,230,3
147547541961576,Council of the European Union,Council of the European Union,230,103
163449818290,KDH,KDH,224,8
324560137683033,Ivan ŠTEFANEC,KDH,223,15
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,SLOVENSKO,220,7
133590787230331,Erik Kaliňák,SMER - SD,218,2
1402157100065393,Ľubomír Galko - kandidát na europoslanca,Hnutie SLOVENSKO,211,7
307556876112136,Peter Pollák,Hnutie SLOVENSKO,208,2
137616796101860,Spoločne občania Slovenska,Spoločne občania Slovenska,200,4
110198307912855,Marián Ďuriš • Republika,REPUBLIKA,188,6
2114282595319489,Za ľudí,Hnutie SLovensko,188,6
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,185,9
136836609695627,PLUS 7 DNÍ,News and Media Holding a.s.,180,6
1183320988494283,Michal Považan - kandidát Kresťanskej únie do europarlamentu,Kresťanská únia,176,3
260530294113765,Milan Krajniak,Kresťanská únia,172,5
100869382951964,Zdravý rozum,Zdravý rozum,170,12
112357895192364,Brunczlík Viktor,Magyar Szövetség - Maďarská aliancia,170,3
103463285493111,Nezlomní,Marcel Rebro,168,8
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,166,5
288447254691571,Veronika Remišová,Hnutie Slovensko,166,4
104590499363251,Ľudovít Ódor,Progresívne Slovensko,157,7
802573516467334,Juraj Blanár,SMER - SD,155,5
328970650296916,Herbácskó Anita,Magyar Szövetség - Maďarská aliancia,151,1
185784721289451,Braňo Ondruš,HLAS - sociálna demokracia,149,14
109628675248068,JOJ 24,JOJ 24,148,1
528116934384090,Mészáros Anikó,Magyar Szövetség - Maďarská aliancia,144,5
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,138,1
2114747078615092,Tibor Gašpar,SMER - SD,134,2
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",134,14
107898832590939,European Commission,European Commission,132,9
105064085082401,Dúhová stužka,"Saplinq, o.z",132,10
1552624815015371,SPP - distribúcia,SPP - distribúcia,132,2
539774696135186,Klenovics Gábor,Magyar Szövetség - Maďarská aliancia,126,4
288447254691571,Veronika Remišová,ZA ĽUĎÍ,125,6
151962591495628,Richard Raši,HLAS - sociálna demokracia,118,13
237493046280813,Katarina Roth Nevedalova,SMER - sociálna demokracia,110,4
122073187539321,Igor ŠIMKO - poslanec NRSR - HLAS Východniarov,HLAS - sociálna demokracia,110,13
584248208261545,Národný pochod za život,Národný pochod za život,108,2
1655338381438249,Penta Investments,Penta Investments,108,18
2096080187175376,Mag Fodor Enikő,Magyar Szövetség - Maďarská aliancia,105,1
2001358070115171,Jaro Polaček,Jaroslav Polaček,105,7
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,105,39
109624335274258,Köpöncei Péter,Magyar Szövetség - Maďarská aliancia,101,1
111410950299518,Iván Tamás,Magyar Szövetség - Maďarská aliancia,101,4
