Strana,FB Účty,Google účty,Kandidátne listiny,Majetkové priznania,Záverečné správy,Kampaň,Predkampaň
Aliancia,"110389031408012, 1009998019021765, 109216190454517, 102200698451761, 829031324096235, 111410950299518, 1625320827727426, 690215231040900, 107024067498051, 101211179319052, 111586945189104, 106918014077172, 769172466530481, 707424385983782, 1009998019021760, 599864812055830, 880183928746736, 1625320827727420, 269221090588670, 599864820155830, 1111614645518100, 572178032935323, 103262848270968, 101099568070100, 105785328360025, 119043128689747, 106799860815101, 109624335274258, 107987188337561, 173543112749903, 248313735341169, 110214091799595, 100308766219330, 835812956480436, 565955613469587, 148882081880955, 1111614645518109",AR00201700494672920577,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_18.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report293.pdf,810936.68,92954.4
Demokrati,"858732787843932, 107271118959010, 116961031326577, 101278322941364, 714437508635046, 104508354300137, 111413928658403, 1057020590987528, 112006148597737, 109590558726150, 429799293817559, 111584598545867, 103467872676374, 279291282133882, 1551879298397654, 1555021474808030, 108466378973519, 129258550251344, 105857164298849, 601439536972303, 997070030338959, 198546656989840, 1904714152960290, 1543235905999133, 102359016253900, 109354727278502, 108691074741565, 1412329569066398, 100884964789275, 1555237767952874, 100826411295924, 1464734340450562",AR03398669606292815873,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_22.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report284.pdf,1531362.42,602790.93
Hlas,"113775847050590, 403027089864701, 105603301203054, 204127420237057, 100612851457308, 100171861388723, 816383341890046, 278345349229163, 256241975019809, 114095796699657, 122073187539321, 437888136331346, 151962591495628, 103733809471796, 100233499613453, 101303498335561, 112846697159144, 101604784962294, 100126646819002, 102571051297892, 104285237742651, 635476236633895, 1547609242134500, 112637573907023, 109957008760663, 111977983820589, 108503241459802, 113462130429868, 124151041686824, 1547609242134506",AR04107330139161886721,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_17.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report295.pdf,2747021.88,40841.56
KARMA,"108738885239217, 104342431047544, 1544882959152020",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_24.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report306.pdf,49204.62,0
KDH,"163449818290, 309315359104222, 102213315938547, 103010318316057, 826305747496237, 100686359349358, 942741555816368, 115236661161471, 103720806125628, 279200712281963, 108326823969091, 102658429548951, 988525254539935, 1695285870694719, 114240485988180, 104836089345291, 108494287234821, 103010318316057, 279200712281963, 168054920212177, 114240485988180, 1695285870694710, 349646455099583, 106819342821837, 105674272615043, 100282046184754, 112611038482621, 532813096799385, 1893292664316490, 330973187708540, 169301250288663, 345709655093, 281656152765874, 108586518941074, 114841588328448, 114054693393180, 105388229317381, 101503339245371, 108423448605061, 109056091968062, 1473247526249413, 103431272546936, 110384312152358, 498701220263973, 107952497639229, 239313066142919, 131722646680713",AR11301805323838291969,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_23.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report018.pdf,2338057.84,115984.81
Kresťanská únia,"168813446552680, 558882197954288",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_05.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report164.pdf,1018467.52,0
KSS,100589442628138,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_06.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report069.pdf,212780.06,0
LSNS,"103955061071909, 103101388140837, 2011031775831511, 105463642608541",,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_21.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report181.pdf,391147.5,35016.88
MySlovensko,"110914051965554, 1527856434120951",AR09226257739481612289,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_14.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report280.PDF,60159.65,0
MF-ODS,"522186401540084, 281189505375741, 113270933763580, 108624358992592, 2109897839105850, 111242622037335, 188813161688299, 1400698413321687, 105575699165026, 140675702940687, 2109897839105854",AR15193058853794086913,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr20_3kandidati/NR23_07.pdf,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/100_nr_sr/nr23_kampan/NR23_Report288.pdf,205755.8,32220
