Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
163449818290,KDH,KDH,4372,60
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,4191,76
309315359104222,Milan Majerský,KDH,2893,35
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,"OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",2393,19
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,2078,40
105321095696057,Modrí,Modrí,1863,40
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,1580,42
600235073447674,Sme rodina,Sme rodina,1449,33
184760561603680,Richard Sulik,Sloboda a Solidarita,1399,39
522186401540084,Magyar Fórum - Maďarské fórum,Magyar Fórum - Maďarské fórum,1330,18
142965026500972,Michal Truban,Progresívne Slovensko,1176,42
557862947737785,Progresívne Slovensko,Progresívne Slovensko,1041,20
1928247723902365,Humánny pokrok,Humánny pokrok,831,49
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,750,14
122074554119,EU Social,"Európska Komisia - Zamestnanosť, sociálne záležitosti a začlenenie",682,7
825548020851519,To je nápad,"Dobré médiá, s.r.o.",653,38
102200698451761,Gyimesi György,Gyimesi György,642,6
53247283454,Hospodárske noviny,Mafra Slovakia a.s.,515,28
147166706140048,Martin Hojsík,Martin Hojsík,495,11
113270933763580,ODS - OBČIANSKI DEMOKRATI SLOVENSKA,ODS - Občianski demokrati Slovenska,474,9
109669047774695,Brainee.sk,Mafra Slovakia a.s.,471,106
186953775142661,ESET,"ESET, spol. s r.o.",439,8
100686359349358,Martina Holečková,KDH,400,5
732167026967322,Robert Fico,SMER - SD,360,8
113345716746560,Lucia Plaváková • Progresívne Slovensko,Progresívne Slovensko,356,4
141217272588202,Ministerstvo zahraničných vecí a európskych záležitostí SR,Ministerstvo zahraničných vecí a európskych záležitostí SR,352,2
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,327,8
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",326,3
482492355256037,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky","Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",316,6
178362315106,European Parliament,European Parliament,312,19
117195501273420,Mali ešte žiť,OZ Pozostalí za spravodlivosť,243,18
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,225,17
594790970995799,Miriam Lexmann,Miriam Lexmann,224,4
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",184,11
107898832590939,European Commission,European Commission,180,4
396331590493376,Miroslav Žiak,Sloboda a Solidarita,176,2
103101388140837,Marian Kotleba,Kotlebovci - Ľudová strana Naše Slovensko,166,1
2322076957827734,Ladislav Kamenický,SMER - SD,164,7
256241975019809,Erik Tomáš,HLAS - sociálna demokracia,152,10
290039217722349,Jarmila Halgašová - Kvalitné potraviny zo slovenských polí,Sloboda a Solidarita,152,21
1552624815015371,SPP - distribúcia,SPP - distribúcia,140,4
816383341890046,Denisa Saková,Hlas - sociálna demokracia,140,17
344709529755622,SAPI,SAPI,139,16
2114282595319489,Za ľudí,Za ľudí,132,2
826305747496237,Igor Janckulík - KDH,KDH,130,5
106092371358835,Za právny štát,Občianske združenie ZA DEMOKRACIU A PRÁVNY ŠTÁT,125,5
1198279137015143,Zmudri.sk,Zmudri.sk,124,2
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,123,2
105947861630687,DEMDIS,DemDis,116,3
118050251681595,BILLA Slovensko,Create4future sro,112,2
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,112,5
53798312370,EURACTIV.sk,EURACTIV.sk,112,39
2001358070115171,Jaro Polaček,Jaroslav Polaček,110,6
104893459551069,Ekotopfilm SK,Ekotopfilm SK,106,10
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,106,3
210627929528194,Za našu vodu,OZ Za našu vodu,104,5
105131888394144,Team Bratislava,Team BA,104,14
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,101,22
