Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,"OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",103804,99
600235073447674,Sme rodina,Sme rodina,86432,543
163449818290,KDH,KDH,75443,452
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,71546,421
104508354300137,Andrea Letanovská - Demokrati,Demokrati,70365,795
105321095696057,Modrí,Modrí,63056,423
403027089864701,Peter Pellegrini,HLAS - sociálna demokracia,62832,357
309315359104222,Milan Majerský,KDH,60280,311
1057020590987528,Demokrati 2023,Demokrati,55275,553
111413928658403,Jozef Sýkora - Demokrati 2023,Demokrati,54477,58
557862947737785,Progresívne Slovensko,Progresívne Slovensko,40007,248
184760561603680,Richard Sulík,Sloboda a Solidarita,33942,238
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",30193,118
142965026500972,Michal Truban,Progresívne Slovensko,29923,157
100686359349358,Martina Holečková,KDH,29387,189
105987589010388,SkyShowtime Slovensko,These ads ran without a disclaimer,28255,48
102146246492040,SMER - SSD,SMER - SD,25167,230
168813446552680,Richard Vašečka,Kresťanská únia,23930,70
732167026967322,Robert Fico,SMER - SD,23728,114
127012367151874,Klamal som vás,matovic.sk,21375,372
113775847050590,HLAS - sociálna demokracia,HLAS - sociálna demokracia,20933,171
103192309541650,Voľte Republiku,REPUBLIKA,17009,65
103101388140837,Marian Kotleba,Kotlebovci - Ľudová strana Naše Slovensko,14151,69
102200698451761,Gyimesi György,SZÖVETSÉG - ALIANCIA,13825,50
101835176295971,Chcem tu zostať,Chcem tu zostať,13395,44
112006148597737,Ján Šubák - Demokrati 2023,Demokrati,13149,22
353195602108,Most-Híd,"Modrí, Most - Híd",13145,68
109605918855025,Slobodní a zodpovední,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",11752,34
288447254691571,Veronika Remišová,ZA ĽUĎÍ,11595,56
100612851457308,Matúš Šutaj Eštok,HLAS - sociálna demokracia,11264,225
522186401540084,Magyar Fórum - Maďarské fórum,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",11173,132
