region,name,link,title
BA,Dušan Badinský,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_BadinskyDusan.pdf,"Dušan Badinský (PDF, 836 kB)"
BA,Katarína Bálintová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_BalintovaKatarina.pdf,"Katarína Bálintová (PDF, 3 MB)"
BA,Benko Sandra,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_BenkoSandra.pdf,"Sandra Benko (PDF, 465 kB)"
BA,Rastislav Blaško,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_BlaskoRastislav.pdf,"Rastislav Blaško (PDF, 736 kB)"
BA,Andrej Bojczún,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_BojczunAndrej.pdf,"Andrej Bojczún (PDF, 756 kB)"
BA,Dana Čahojová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_CahojovaDana.pdf,"Dana Čahojová (PDF, 13 MB)"
BA,Matúš Čupka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_CupkaMatus.pdf,"Matúš Čupka (PDF, 20 MB)"
BA,Monika Debnárová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_DebnarovaMonika.pdf,"Monika Debnárová (PDF, 841 kB)"
BA,Marek Dinuš,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_DinusMarek.pdf,"Marek Dinuš (PDF, 590 kB)"
BA,Michal Drotován,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_DrotovanMichal.pdf,"Michal Drotován (PDF, 848 kB)"
BA,Branislav Filipovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_FilipovicBranislav.pdf,"Branislav Filipovič (PDF, 861 kB)"
BA,Šimon Gabura,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_GaburaSimon.pdf,"Šimon Gabura (PDF, 410 kB)"
BA,Martin Gajdoš,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_GajdosMartin.pdf,"Martin Gajdoš (PDF, 110 kB)"
BA,Štefan Gašparovič,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_GasparovicStefan.pdf,"Štefan Gašparovič (PDF, 499 kB)"
BA,Hana Haldová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_HaldovaHana.pdf,"Hana Haldová (PDF, 820 kB)"
BA,Ján Hrčka,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_HrckaJan.pdf,"Ján Hrčka (PDF, 742 kB)"
BA,Jana Jányová,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_JanyovaJana.pdf,"Jana Jányová (PDF, 1 MB)"
BA,Tomáš Káčer,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_KacerTomas.pdf,"Tomáš Káčer (PDF, 121 kB)"
BA,Martin Kližan,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_KlizanMartin.pdf,"Martin Kližan (PDF, 810 kB)"
BA,Peter Kmeť,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_KmetPeter.pdf,"Peter Kmeť (PDF, 833 kB)"
BA,Dárius Krajčír,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_KrajcirDarius.pdf,"Dárius Krajčír (PDF, 705 kB)"
BA,Jozef Krúpa,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/200_selfgov22/sg22_51kampan_ba/BA_KrupaJozef.pdf,"Jozef Krúpa (PDF, 384 kB)"
